唯一键,dungeon_type,类型,dungeon_id,显示名,层级/难度,子类型,怪物等级,Prefab/结构ID,补充参数,来源
0:0,0,主城,0,主城,,,,,非副本场景,src/include/dungeon.hrl:108
2:7,2,大秘境,7,大秘境 第7层,7,,21,500004,time_limit=60; monster_strength_level=7,src/conf/conf_great_rift_level.erl:163
2:8,2,大秘境,8,大秘境 第8层,8,,21,500004,time_limit=60; monster_strength_level=8,src/conf/conf_great_rift_level.erl:184
2:9,2,大秘境,9,大秘境 第9层,9,,22,500004,time_limit=60; monster_strength_level=9,src/conf/conf_great_rift_level.erl:205
2:10,2,大秘境,10,大秘境 第10层,10,,24,500004,time_limit=60; monster_strength_level=10,src/conf/conf_great_rift_level.erl:226
2:11,2,大秘境,11,大秘境 第11层,11,,25,500004,time_limit=60; monster_strength_level=11,src/conf/conf_great_rift_level.erl:247
2:12,2,大秘境,12,大秘境 第12层,12,,25,500004,time_limit=60; monster_strength_level=12,src/conf/conf_great_rift_level.erl:268
2:13,2,大秘境,13,大秘境 第13层,13,,26,500004,time_limit=60; monster_strength_level=13,src/conf/conf_great_rift_level.erl:289
2:14,2,大秘境,14,大秘境 第14层,14,,27,500004,time_limit=60; monster_strength_level=14,src/conf/conf_great_rift_level.erl:310
2:15,2,大秘境,15,大秘境 第15层,15,,27,500004,time_limit=60; monster_strength_level=15,src/conf/conf_great_rift_level.erl:331
2:16,2,大秘境,16,大秘境 第16层,16,,28,500004,time_limit=60; monster_strength_level=16,src/conf/conf_great_rift_level.erl:352
2:17,2,大秘境,17,大秘境 第17层,17,,29,500004,time_limit=60; monster_strength_level=17,src/conf/conf_great_rift_level.erl:373
2:18,2,大秘境,18,大秘境 第18层,18,,29,500004,time_limit=60; monster_strength_level=18,src/conf/conf_great_rift_level.erl:394
2:19,2,大秘境,19,大秘境 第19层,19,,30,500004,time_limit=60; monster_strength_level=19,src/conf/conf_great_rift_level.erl:415
2:20,2,大秘境,20,大秘境 第20层,20,,31,500004,time_limit=60; monster_strength_level=20,src/conf/conf_great_rift_level.erl:436
2:21,2,大秘境,21,大秘境 第21层,21,,32,500004,time_limit=60; monster_strength_level=21,src/conf/conf_great_rift_level.erl:457
2:22,2,大秘境,22,大秘境 第22层,22,,32,500004,time_limit=60; monster_strength_level=22,src/conf/conf_great_rift_level.erl:478
2:23,2,大秘境,23,大秘境 第23层,23,,33,500004,time_limit=60; monster_strength_level=23,src/conf/conf_great_rift_level.erl:499
2:24,2,大秘境,24,大秘境 第24层,24,,34,500004,time_limit=60; monster_strength_level=24,src/conf/conf_great_rift_level.erl:520
2:25,2,大秘境,25,大秘境 第25层,25,,35,500004,time_limit=60; monster_strength_level=25,src/conf/conf_great_rift_level.erl:541
2:26,2,大秘境,26,大秘境 第26层,26,,35,500004,time_limit=60; monster_strength_level=26,src/conf/conf_great_rift_level.erl:562
2:27,2,大秘境,27,大秘境 第27层,27,,36,500004,time_limit=60; monster_strength_level=27,src/conf/conf_great_rift_level.erl:583
2:28,2,大秘境,28,大秘境 第28层,28,,37,500004,time_limit=60; monster_strength_level=28,src/conf/conf_great_rift_level.erl:604
2:29,2,大秘境,29,大秘境 第29层,29,,37,500004,time_limit=60; monster_strength_level=29,src/conf/conf_great_rift_level.erl:625
2:30,2,大秘境,30,大秘境 第30层,30,,38,500004,time_limit=60; monster_strength_level=30,src/conf/conf_great_rift_level.erl:646
2:31,2,大秘境,31,大秘境 第31层,31,,39,500004,time_limit=60; monster_strength_level=31,src/conf/conf_great_rift_level.erl:667
2:32,2,大秘境,32,大秘境 第32层,32,,39,500004,time_limit=60; monster_strength_level=32,src/conf/conf_great_rift_level.erl:688
2:33,2,大秘境,33,大秘境 第33层,33,,40,500004,time_limit=60; monster_strength_level=33,src/conf/conf_great_rift_level.erl:709
2:34,2,大秘境,34,大秘境 第34层,34,,41,500004,time_limit=60; monster_strength_level=34,src/conf/conf_great_rift_level.erl:730
2:35,2,大秘境,35,大秘境 第35层,35,,41,500004,time_limit=60; monster_strength_level=35,src/conf/conf_great_rift_level.erl:751
2:36,2,大秘境,36,大秘境 第36层,36,,42,500004,time_limit=60; monster_strength_level=36,src/conf/conf_great_rift_level.erl:772
2:37,2,大秘境,37,大秘境 第37层,37,,42,500004,time_limit=60; monster_strength_level=37,src/conf/conf_great_rift_level.erl:793
2:38,2,大秘境,38,大秘境 第38层,38,,43,500004,time_limit=60; monster_strength_level=38,src/conf/conf_great_rift_level.erl:814
2:39,2,大秘境,39,大秘境 第39层,39,,43,500004,time_limit=60; monster_strength_level=39,src/conf/conf_great_rift_level.erl:835
2:40,2,大秘境,40,大秘境 第40层,40,,44,500004,time_limit=60; monster_strength_level=40,src/conf/conf_great_rift_level.erl:856
2:41,2,大秘境,41,大秘境 第41层,41,,45,500004,time_limit=60; monster_strength_level=41,src/conf/conf_great_rift_level.erl:877
2:42,2,大秘境,42,大秘境 第42层,42,,45,500004,time_limit=60; monster_strength_level=42,src/conf/conf_great_rift_level.erl:898
2:43,2,大秘境,43,大秘境 第43层,43,,46,500004,time_limit=60; monster_strength_level=43,src/conf/conf_great_rift_level.erl:919
2:44,2,大秘境,44,大秘境 第44层,44,,46,500004,time_limit=60; monster_strength_level=44,src/conf/conf_great_rift_level.erl:940
2:45,2,大秘境,45,大秘境 第45层,45,,47,500004,time_limit=60; monster_strength_level=45,src/conf/conf_great_rift_level.erl:961
2:46,2,大秘境,46,大秘境 第46层,46,,48,500004,time_limit=60; monster_strength_level=46,src/conf/conf_great_rift_level.erl:982
2:47,2,大秘境,47,大秘境 第47层,47,,49,500004,time_limit=60; monster_strength_level=47,src/conf/conf_great_rift_level.erl:1003
2:48,2,大秘境,48,大秘境 第48层,48,,49,500004,time_limit=60; monster_strength_level=48,src/conf/conf_great_rift_level.erl:1024
2:49,2,大秘境,49,大秘境 第49层,49,,50,500004,time_limit=60; monster_strength_level=49,src/conf/conf_great_rift_level.erl:1045
2:50,2,大秘境,50,大秘境 第50层,50,,51,500004,time_limit=60; monster_strength_level=50,src/conf/conf_great_rift_level.erl:1066
2:51,2,大秘境,51,大秘境 第51层,51,,52,500004,time_limit=60; monster_strength_level=51,src/conf/conf_great_rift_level.erl:1087
2:52,2,大秘境,52,大秘境 第52层,52,,53,500004,time_limit=60; monster_strength_level=52,src/conf/conf_great_rift_level.erl:1108
2:53,2,大秘境,53,大秘境 第53层,53,,54,500004,time_limit=60; monster_strength_level=53,src/conf/conf_great_rift_level.erl:1129
2:54,2,大秘境,54,大秘境 第54层,54,,55,500004,time_limit=60; monster_strength_level=54,src/conf/conf_great_rift_level.erl:1150
2:55,2,大秘境,55,大秘境 第55层,55,,55,500004,time_limit=60; monster_strength_level=55,src/conf/conf_great_rift_level.erl:1171
2:56,2,大秘境,56,大秘境 第56层,56,,56,500004,time_limit=60; monster_strength_level=56,src/conf/conf_great_rift_level.erl:1192
2:57,2,大秘境,57,大秘境 第57层,57,,57,500004,time_limit=60; monster_strength_level=57,src/conf/conf_great_rift_level.erl:1213
2:58,2,大秘境,58,大秘境 第58层,58,,58,500004,time_limit=60; monster_strength_level=58,src/conf/conf_great_rift_level.erl:1234
2:59,2,大秘境,59,大秘境 第59层,59,,58,500004,time_limit=60; monster_strength_level=59,src/conf/conf_great_rift_level.erl:1255
2:60,2,大秘境,60,大秘境 第60层,60,,59,500004,time_limit=60; monster_strength_level=60,src/conf/conf_great_rift_level.erl:1276
2:61,2,大秘境,61,大秘境 第61层,61,,60,500004,time_limit=60; monster_strength_level=61,src/conf/conf_great_rift_level.erl:1297
2:62,2,大秘境,62,大秘境 第62层,62,,61,500004,time_limit=60; monster_strength_level=62,src/conf/conf_great_rift_level.erl:1318
2:63,2,大秘境,63,大秘境 第63层,63,,61,500004,time_limit=60; monster_strength_level=63,src/conf/conf_great_rift_level.erl:1339
2:64,2,大秘境,64,大秘境 第64层,64,,62,500004,time_limit=60; monster_strength_level=64,src/conf/conf_great_rift_level.erl:1360
2:65,2,大秘境,65,大秘境 第65层,65,,63,500004,time_limit=60; monster_strength_level=65,src/conf/conf_great_rift_level.erl:1381
2:66,2,大秘境,66,大秘境 第66层,66,,63,500004,time_limit=60; monster_strength_level=66,src/conf/conf_great_rift_level.erl:1402
2:67,2,大秘境,67,大秘境 第67层,67,,64,500004,time_limit=60; monster_strength_level=67,src/conf/conf_great_rift_level.erl:1423
2:68,2,大秘境,68,大秘境 第68层,68,,65,500004,time_limit=60; monster_strength_level=68,src/conf/conf_great_rift_level.erl:1444
2:69,2,大秘境,69,大秘境 第69层,69,,65,500004,time_limit=60; monster_strength_level=69,src/conf/conf_great_rift_level.erl:1465
2:70,2,大秘境,70,大秘境 第70层,70,,66,500004,time_limit=60; monster_strength_level=70,src/conf/conf_great_rift_level.erl:1486
2:71,2,大秘境,71,大秘境 第71层,71,,66,500004,time_limit=60; monster_strength_level=71,src/conf/conf_great_rift_level.erl:1507
2:72,2,大秘境,72,大秘境 第72层,72,,67,500004,time_limit=60; monster_strength_level=72,src/conf/conf_great_rift_level.erl:1528
2:73,2,大秘境,73,大秘境 第73层,73,,68,500004,time_limit=60; monster_strength_level=73,src/conf/conf_great_rift_level.erl:1549
2:74,2,大秘境,74,大秘境 第74层,74,,68,500004,time_limit=60; monster_strength_level=74,src/conf/conf_great_rift_level.erl:1570
2:75,2,大秘境,75,大秘境 第75层,75,,69,500004,time_limit=60; monster_strength_level=75,src/conf/conf_great_rift_level.erl:1591
2:76,2,大秘境,76,大秘境 第76层,76,,70,500004,time_limit=60; monster_strength_level=76,src/conf/conf_great_rift_level.erl:1612
2:77,2,大秘境,77,大秘境 第77层,77,,71,500004,time_limit=60; monster_strength_level=77,src/conf/conf_great_rift_level.erl:1633
2:78,2,大秘境,78,大秘境 第78层,78,,71,500004,time_limit=60; monster_strength_level=78,src/conf/conf_great_rift_level.erl:1654
2:79,2,大秘境,79,大秘境 第79层,79,,72,500004,time_limit=60; monster_strength_level=79,src/conf/conf_great_rift_level.erl:1675
2:80,2,大秘境,80,大秘境 第80层,80,,73,500004,time_limit=60; monster_strength_level=80,src/conf/conf_great_rift_level.erl:1696
2:81,2,大秘境,81,大秘境 第81层,81,,74,500004,time_limit=60; monster_strength_level=81,src/conf/conf_great_rift_level.erl:1717
2:82,2,大秘境,82,大秘境 第82层,82,,75,500004,time_limit=60; monster_strength_level=82,src/conf/conf_great_rift_level.erl:1738
2:83,2,大秘境,83,大秘境 第83层,83,,75,500004,time_limit=60; monster_strength_level=83,src/conf/conf_great_rift_level.erl:1759
2:84,2,大秘境,84,大秘境 第84层,84,,76,500004,time_limit=60; monster_strength_level=84,src/conf/conf_great_rift_level.erl:1780
2:85,2,大秘境,85,大秘境 第85层,85,,77,500004,time_limit=60; monster_strength_level=85,src/conf/conf_great_rift_level.erl:1801
2:86,2,大秘境,86,大秘境 第86层,86,,78,500004,time_limit=60; monster_strength_level=86,src/conf/conf_great_rift_level.erl:1822
2:87,2,大秘境,87,大秘境 第87层,87,,79,500004,time_limit=60; monster_strength_level=87,src/conf/conf_great_rift_level.erl:1843
2:88,2,大秘境,88,大秘境 第88层,88,,80,500004,time_limit=60; monster_strength_level=88,src/conf/conf_great_rift_level.erl:1864
2:89,2,大秘境,89,大秘境 第89层,89,,80,500004,time_limit=60; monster_strength_level=89,src/conf/conf_great_rift_level.erl:1885
2:90,2,大秘境,90,大秘境 第90层,90,,81,500004,time_limit=60; monster_strength_level=90,src/conf/conf_great_rift_level.erl:1906
2:91,2,大秘境,91,大秘境 第91层,91,,82,500004,time_limit=60; monster_strength_level=91,src/conf/conf_great_rift_level.erl:1927
2:92,2,大秘境,92,大秘境 第92层,92,,83,500004,time_limit=60; monster_strength_level=92,src/conf/conf_great_rift_level.erl:1948
2:93,2,大秘境,93,大秘境 第93层,93,,84,500004,time_limit=60; monster_strength_level=93,src/conf/conf_great_rift_level.erl:1969
2:94,2,大秘境,94,大秘境 第94层,94,,85,500004,time_limit=60; monster_strength_level=94,src/conf/conf_great_rift_level.erl:1990
2:95,2,大秘境,95,大秘境 第95层,95,,86,500004,time_limit=60; monster_strength_level=95,src/conf/conf_great_rift_level.erl:2011
2:96,2,大秘境,96,大秘境 第96层,96,,87,500004,time_limit=60; monster_strength_level=96,src/conf/conf_great_rift_level.erl:2032
2:97,2,大秘境,97,大秘境 第97层,97,,87,500004,time_limit=60; monster_strength_level=97,src/conf/conf_great_rift_level.erl:2053
2:98,2,大秘境,98,大秘境 第98层,98,,88,500004,time_limit=60; monster_strength_level=98,src/conf/conf_great_rift_level.erl:2074
2:99,2,大秘境,99,大秘境 第99层,99,,88,500004,time_limit=60; monster_strength_level=99,src/conf/conf_great_rift_level.erl:2095
2:100,2,大秘境,100,大秘境 第100层,100,,89,500004,time_limit=60; monster_strength_level=100,src/conf/conf_great_rift_level.erl:2116
3:31001,3,资源本,31001,资源本 类型1 第1层,1,1,32,10101,recommend_power=27300; unlock_inner=10301; time_limit=120,src/conf/conf_resource_dungeon_level.erl:37
3:31002,3,资源本,31002,资源本 类型1 第2层,2,1,41,10101,recommend_power=31900; unlock_inner=10315; time_limit=120,src/conf/conf_resource_dungeon_level.erl:73
3:31003,3,资源本,31003,资源本 类型1 第3层,3,1,51,10101,recommend_power=39600; unlock_inner=10335; time_limit=120,src/conf/conf_resource_dungeon_level.erl:109
3:31004,3,资源本,31004,资源本 类型1 第4层,4,1,59,10101,recommend_power=45400; unlock_inner=10415; time_limit=120,src/conf/conf_resource_dungeon_level.erl:145
3:31005,3,资源本,31005,资源本 类型1 第5层,5,1,66,10101,recommend_power=50800; unlock_inner=10435; time_limit=120,src/conf/conf_resource_dungeon_level.erl:181
3:31006,3,资源本,31006,资源本 类型1 第6层,6,1,73,10101,recommend_power=56100; unlock_inner=10515; time_limit=120,src/conf/conf_resource_dungeon_level.erl:217
3:31007,3,资源本,31007,资源本 类型1 第7层,7,1,81,10101,recommend_power=63800; unlock_inner=10535; time_limit=120,src/conf/conf_resource_dungeon_level.erl:253
3:31008,3,资源本,31008,资源本 类型1 第8层,8,1,89,10101,recommend_power=72300; unlock_inner=10550; time_limit=120,src/conf/conf_resource_dungeon_level.erl:289
3:32001,3,资源本,32001,资源本 类型2 第1层,1,2,18,10201,recommend_power=17800; unlock_inner=10210; time_limit=120,src/conf/conf_resource_dungeon_level.erl:325
3:32002,3,资源本,32002,资源本 类型2 第2层,2,2,35,10201,recommend_power=29000; unlock_inner=10305; time_limit=120,src/conf/conf_resource_dungeon_level.erl:361
3:32003,3,资源本,32003,资源本 类型2 第3层,3,2,47,10201,recommend_power=36900; unlock_inner=10325; time_limit=120,src/conf/conf_resource_dungeon_level.erl:397
3:32004,3,资源本,32004,资源本 类型2 第4层,4,2,55,10201,recommend_power=42400; unlock_inner=10405; time_limit=120,src/conf/conf_resource_dungeon_level.erl:433
3:32005,3,资源本,32005,资源本 类型2 第5层,5,2,63,10201,recommend_power=47300; unlock_inner=10425; time_limit=120,src/conf/conf_resource_dungeon_level.erl:469
3:32006,3,资源本,32006,资源本 类型2 第6层,6,2,69,10201,recommend_power=53000; unlock_inner=10505; time_limit=120,src/conf/conf_resource_dungeon_level.erl:505
3:32007,3,资源本,32007,资源本 类型2 第7层,7,2,77,10201,recommend_power=59400; unlock_inner=10525; time_limit=120,src/conf/conf_resource_dungeon_level.erl:541
3:32008,3,资源本,32008,资源本 类型2 第8层,8,2,86,10201,recommend_power=69100; unlock_inner=10545; time_limit=120,src/conf/conf_resource_dungeon_level.erl:577
3:33001,3,资源本,33001,资源本 类型3 第1层,1,3,18,10301,recommend_power=17800; unlock_inner=10210; time_limit=120,src/conf/conf_resource_dungeon_level.erl:613
3:33002,3,资源本,33002,资源本 类型3 第2层,2,3,38,10301,recommend_power=30600; unlock_inner=10310; time_limit=120,src/conf/conf_resource_dungeon_level.erl:649
3:33003,3,资源本,33003,资源本 类型3 第3层,3,3,49,10301,recommend_power=38000; unlock_inner=10330; time_limit=120,src/conf/conf_resource_dungeon_level.erl:685
3:33004,3,资源本,33004,资源本 类型3 第4层,4,3,57,10301,recommend_power=43300; unlock_inner=10410; time_limit=120,src/conf/conf_resource_dungeon_level.erl:721
3:33005,3,资源本,33005,资源本 类型3 第5层,5,3,64,10301,recommend_power=48200; unlock_inner=10430; time_limit=120,src/conf/conf_resource_dungeon_level.erl:757
3:33006,3,资源本,33006,资源本 类型3 第6层,6,3,71,10301,recommend_power=54700; unlock_inner=10510; time_limit=120,src/conf/conf_resource_dungeon_level.erl:793
3:33007,3,资源本,33007,资源本 类型3 第7层,7,3,79,10301,recommend_power=61000; unlock_inner=10530; time_limit=120,src/conf/conf_resource_dungeon_level.erl:829
3:33008,3,资源本,33008,资源本 类型3 第8层,8,3,89,10301,recommend_power=72300; unlock_inner=10550; time_limit=120,src/conf/conf_resource_dungeon_level.erl:865
3:34001,3,资源本,34001,资源本 类型4 第1层,1,4,13,10401,recommend_power=11100; unlock_inner=10202; time_limit=120,src/conf/conf_resource_dungeon_level.erl:901
3:34002,3,资源本,34002,资源本 类型4 第2层,2,4,21,10401,recommend_power=21400; unlock_inner=10215; time_limit=120,src/conf/conf_resource_dungeon_level.erl:937
3:34003,3,资源本,34003,资源本 类型4 第3层,3,4,44,10401,recommend_power=34500; unlock_inner=10320; time_limit=120,src/conf/conf_resource_dungeon_level.erl:973
3:34004,3,资源本,34004,资源本 类型4 第4层,4,4,53,10401,recommend_power=40800; unlock_inner=10340; time_limit=120,src/conf/conf_resource_dungeon_level.erl:1009
3:34005,3,资源本,34005,资源本 类型4 第5层,5,4,61,10401,recommend_power=46400; unlock_inner=10420; time_limit=120,src/conf/conf_resource_dungeon_level.erl:1045
3:34006,3,资源本,34006,资源本 类型4 第6层,6,4,67,10401,recommend_power=51700; unlock_inner=10440; time_limit=120,src/conf/conf_resource_dungeon_level.erl:1081
3:34007,3,资源本,34007,资源本 类型4 第7层,7,4,75,10401,recommend_power=57300; unlock_inner=10520; time_limit=120,src/conf/conf_resource_dungeon_level.erl:1117
3:34008,3,资源本,34008,资源本 类型4 第8层,8,4,84,10401,recommend_power=66200; unlock_inner=10540; time_limit=120,src/conf/conf_resource_dungeon_level.erl:1153
5:10101,5,组队打宝,10101,组队打宝 难度1,1,,20,10101,need_power=7830; boss_id=30011; revive=1,src/conf/conf_team_loot_level.erl:37
5:10102,5,组队打宝,10102,组队打宝 难度2,2,,30,10101,need_power=23600; boss_id=30011; revive=1,src/conf/conf_team_loot_level.erl:54
